Name,Rolls,Current Substation (from Rolls),record_id,Width Average (mm)
CFT97 - R47107: X - PO-3113,R47107: CFT97,Material Prep,receBdjXc5JZxYI1I,1506.7
CFT97 - R47108: X - PO-3113,R47108: CFT97,Material Prep,reciB7mT1RdIKmcQs,1540.0
CFT97 - R46488: X - PO-3113,R46488: CFT97,Material Prep,recC0k9m1OnigAq1u,1530.0
CFT97 - R45684: X - PO-3113,R45684: CFT97,Material Prep,recN3m5Dfk78yuGvG,1560.0
CFT97 - R46515: X - PO-3113,R46515: CFT97,Material Prep,rec9XzYPka6PqlBff,1530.0
CFT97 - R31083: X - PO-3113,R31083: CFT97,Material Prep,recaNEJK0J93PORSR,1506.7
CFT97 - R46490: X - PO-3113,R46490: CFT97,Material Prep,recIwPXCbZ6tRhZDF,1526.7
CFT97 - R47185: X - PO-3113,R47185: CFT97,Material Prep,recvrTN6ch8AvxusB,1520.0
CFT97 - R46595: X - PO-3113,R46595: CFT97,Material Prep,rec7dwotcd0g7Rv3F,1540.0
CFT97 - R46664: X - PO-3113,R46664: CFT97,Material Prep,recjfdf2NrKUWNFMH,1520.0
CFT97 - R46492: X - PO-3113,R46492: CFT97,Material Prep,recF2UpmtbGl4Lu7j,1510.0
CFT97 - R47072: X - PO-3113,R47072: CFT97,Material Prep,rec1LG0j7Poz8zUEG,1580.0
CFT97 - R47069: X - PO-3113,R47069: CFT97,Material Prep,reclaPmHLrtNpQ7zZ,1543.3
CFT97 - R47399: X - PO-3113,R47399: CFT97,Material Prep,recEdfXN40toMvbcD,1530.0
CFT97 - R47383: X - PO-3113,R47383: CFT97,Material Prep,recgDb8f1wOWED0JF,1480.0
CFT97 - R47408: X - PO-3113,R47408: CFT97,Material Prep,recCXBw5jhVL2A6Wm,1553.3
CFT97 - R47824: X - PO-3113,R47824: CFT97,Material Prep,recpdF2epqJY3Sdl5,1553.3
CFT97 - R47902: X - PO-3113,R47902: CFT97,Material Prep,recRhXM0HJ8MwQ8e5,1526.7
CFT97 - R47550: X - PO-3113,R47550: CFT97,Material Prep,recNWJwnNd2e6UWDh,1553.3
CFT97 - R48962: X - PO-3113,R48962: CFT97,Material Prep,recsMyBEWlqoRqwxW,1503.3
CFT97 - R49038: X - PO-3113,R49038: CFT97,Material Prep,reciB0QevV25TZDec,1536.7
CFT97 - R49169: X - PO-3113,R49169: CFT97,Material Prep,recu979H4c6KopCzI,1503.3
CFT97 - R44759: X - PO-3113,R44759: CFT97,Material Prep,reci3v0MiN6f5o7s2,1540.0
